recording_num	first_language	origin_city	origin_country	Age	Gender	Experience	classification	file_name	language_symbol	date_added
1	afrikaans	virginia	south africa	27	female	9	academic	afrikaans1.mov	afr	6/15/2005 17:09
2	afrikaans	pretoria	south africa	40	male	5	academic	afrikaans2.mov	afr	6/15/2005 17:09
3	afrikaans	pretoria	south africa	43	male	4	naturalistic	afrikaans3.mov	afr	8/3/2005 10:39
4	afrikaans	pretoria	south africa	26	male	8	academic	afrikaans4.mov	afr	2/4/2011 20:04
5	afrikaans	cape town	south africa	19	male	6	academic	afrikaans5.mov	afr	3/1/2012 11:10
1	agni	diekabo	ivory coast	25	male	15	academic	agni1.mov	any	9/8/2005 13:51
1	akan	accra	ghana	41	male	5	academic	akan1.mov	aka	3/2/2009 0:15
1	albanian	prishtina	kosovo	19	male	6	naturalistic	albanian1.mov	als	1/26/2009 16:38
2	albanian	tirana	albania	33	male	15	naturalistic	albanian2.mov	aln	6/15/2005 17:09
3	albanian	tirana	albania	44	male	35	naturalistic	albanian3.mov	aln	12/6/2005 13:29
4	albanian	mitrovice	kosovo	33	male	28	academic	albanian4.mov	aln	3/31/2008 13:14
5	albanian	vlore	albania	31	male	11	academic	albanian5.mov	aln	9/8/2008 14:51
6	albanian	prishtina	kosovo	25	female	11	academic	albanian6.mov	als	3/1/2009 10:59
7	albanian	prishtina	kosovo	45	female	11	academic	albanian7.mov	als	3/17/2011 9:50
8	albanian	prishtina	kosovo	43	female	9	academic	albanian8.mov	als	3/17/2011 9:50
9	albanian	tirana	albania	22	female	6	naturalistic	albanian9.mov	aln	11/19/2012 8:18
1	amazigh	tata	morocco	37	male	32	academic	amazigh1.mov	thz	
2	amazigh	ouarzazat	morocco	39	male	16	academic	amazigh2.mov	thz	8/2/2011 10:26
1	amharic	addis ababa	ethiopia	20	female	5	academic	amharic1.mov	amh	6/15/2005 17:09
2	amharic	arba minch	ethiopia	23	male	7	academic	amharic2.mov	amh	6/15/2005 17:09
3	amharic	addis ababa	ethiopia	27	male	8	academic	amharic3.mov	amh	6/15/2005 17:09
4	amharic	addis ababa	ethiopia	20	male	7	academic	amharic4.mov	amh	6/15/2005 17:09
5	amharic	addis ababa	ethiopia	31	male	7	academic	amharic5.mov	amh	6/15/2005 17:09
6	amharic	addis ababa	ethiopia	31	female	4	academic	amharic6.mov	amh	10/20/2008 13:55
7	amharic	addis ababa	ethiopia	38	male	13	academic	amharic7.mov	amh	10/31/2008 0:19
8	amharic	addis ababa	ethiopia	30	female	12	academic	amharic8.mov	amh	10/31/2008 0:21
9	amharic	addis ababa	ethiopia	40	male	12	academic	amharic9.mov	amh	10/31/2008 0:22
10	amharic	gonder	ethiopia	29	female	19	naturalistic	amharic10.mov	amh	11/6/2008 22:17
11	amharic	addis ababa	ethiopia	24	female	17	academic	amharic11.mov	amh	6/2/2009 20:04
12	amharic	addis ababa	ethiopia	26	female	15	academic	amharic12.mov	amh	6/2/2009 20:04
13	amharic	addis ababa	ethiopia	28	female	6	academic	amharic13.mov	amh	6/2/2009 20:05
14	amharic	addis ababa	ethiopia	31	male	12	academic	amharic14.mov	amh	3/9/2012 21:19
15	amharic	addis ababa	ethiopia	23	male	6	academic	amharic15.mov	amh	3/9/2012 21:20
16	amharic	werder	ethiopia	36	male	11	academic	amharic16.mov	amh	11/19/2013 23:17
1	arabic	riyadh	saudi arabia	38	female	12	academic	arabic1.mov	ars	7/26/2013 20:56
2	arabic	damascus	syria	18	male	2.5	naturalistic	arabic2.mov	abv	6/15/2005 17:09
